Comune,Longitudine,Latitudine
casanova elvo,8.2933069,45.39952964
san giacomo vercellese,8.32534514,45.49741181
cellio,8.31309615,45.75546715
cervatto,8.16235419,45.88308084
cigliano,8.021489,45.309557
civiasco,8.29278728,45.80668518
collobiano,8.34853582,45.39712515
costanzana,8.3700654,45.23619745
cravagliana,8.20112963,45.84734738
crescentino,8.10258275,45.19232707
crova,8.21192995,45.33003762
desana,8.35745053,45.26873384
fobello,8.15891887,45.88955756
fontanetto po,8.19171653,45.19339547
formigliana,8.2929106,45.42877725
gattinara,8.37128081,45.61734452
ghislarengo,8.38432306,45.52931694
greggio,8.38247553,45.45180309
guardabosone,8.25032253,45.7009391
lamporo,8.0975502,45.23008153
lenta,8.38444808,45.55556369
lignana,8.34604641,45.2852959
livorno ferraris,8.08199764,45.28165932
lozzolo,8.3220795,45.62258776
mollia,8.03096665,45.81528283
moncrivello,7.99586116,45.33122991
motta de conti,8.52077102,45.19150237
olcenengo,8.31138984,45.3635942
oldenico,8.3827208,45.40235336
palazzolo vercellese,8.23282434,45.18450002
pertengo,8.41762904,45.23562007
pezzana,8.48420194,45.26206373
pila,8.08081524,45.77024834
piode,8.05308685,45.76976604
postua,8.23149631,45.71418815
prarolo,8.47934379,45.28222769
quarona,8.26542166,45.75985229
quinto vercellese,8.36218487,45.38047939
rassa,8.0141935,45.7686266
rima san giuseppe,8.02339104,45.86531097
rimasco,8.0629959,45.85848339
rimella,8.18259236,45.90794146
riva valdobbia,7.95382909,45.83327671
rive,8.4183193,45.21256687
roasio,8.28892846,45.60862395
ronsecco,8.27777195,45.25350322
rossa,8.12564508,45.83354703
rovasenda,8.31361503,45.53679031
sabbia,8.23633112,45.85685912
salasco,8.26378089,45.32528875
sali vercellese,8.32968249,45.30933121
saluggia,8.01113811,45.23583395
san germano vercellese,8.25094964,45.350183
santhia,8.17435014,45.366922
scopa,8.11316044,45.79171337
scopello,8.09484168,45.77367325
serravalle sesia,8.31147526,45.68614932
stroppiana,8.45347729,45.2313955
tricerro,8.32514946,45.23379809
trino,8.29690047,45.19420619
tronzano vercellese,8.17469273,45.3427904
valduggia,8.32785665,45.72638859
varallo,8.25621194,45.81403992
vercelli,8.42323431,45.32398135
villarboit,8.33686901,45.43665326
villata,8.43260279,45.38561063
vocca,8.18753037,45.83098292
agrate conturbia,8.55992667,45.67598127
ameno,8.43942761,45.78878319
armeno,8.43917903,45.82196603
arona,8.55948977,45.76039239
barengo,8.51201322,45.574775
bellinzago novarese,8.63973111,45.57030363
biandrate,8.46370551,45.45378226
boca,8.40870545,45.67828729
bogogno,8.53449913,45.66716613
bolzano novarese,8.44415269,45.76282586
borgolavezzaro,8.69926765,45.31838337
borgomanero,8.46298661,45.6988743
borgo ticino,8.60392229,45.68806799
briga novarese,8.45159151,45.73138349
briona,8.4798194,45.54219977
caltignaga,8.58791485,45.51708606
cameri,8.66224358,45.50102461
carpignano sesia,8.41834081,45.5353062
casalbeltrame,8.46837851,45.43623977
casaleggio novara,8.49266595,45.48630378
casalino,8.5227352,45.35768141
casalvolone,8.46436466,45.3994586
castellazzo novarese,8.48870753,45.5139929
castelletto sopra ticino,8.64237321,45.71405023
cavaglietto,8.50091213,45.60280053
cavaglio d agogna,8.48278611,45.6118122
cavallirio,8.3967365,45.66496084
cerano,8.78085515,45.41067427
colazza,8.49908518,45.79262548
comignago,8.56512314,45.7152394
cressa,8.50748369,45.64799409
cureggio,8.46136101,45.67513019
divignano,8.60149532,45.66227913
dormelletto,8.57318421,45.73016147
fara novarese,8.4591122,45.55511789
fontaneto d agogna,8.48458276,45.63985923
galliate,8.69527266,45.47769535
garbagna novarese,8.6596796,45.38665075
gargallo,8.42921545,45.72750435
gattico,8.52053275,45.70906459
ghemme,8.42009104,45.59781069
gozzano,8.43465086,45.74755669
granozzo con monticello,8.57413671,45.36014053
grignasco,8.33970898,45.68190215
