Annuncio,Link,Modello,Prezzo,Chilometraggio,Cambio,Immatricolazione,Carburante,CV,Venditore,CAP,Comune
BMW 118 d Business Advantage auto,https://www.autoscout24.it/annunci/bmw-118-d-business-advantage-auto-diesel-blu-azzurro-723169b2-2c46-4fc7-9e7a-37c84b57a661,118d,28900.0,7,automatico,2023,Diesel,136.0,Rivenditore,50019,sesto fiorentino
"BMW 118 i 5p. Business Advantage ""18 Msport /Nav/F.Led/Par",https://www.autoscout24.it/annunci/bmw-118-i-5p-business-advantage-18-msport-nav-f-led-par-benzina-grigio-b421cdbc-ee0b-468b-8dc2-2fd4093f3f78,118i,22300.0,66,automatico,2021,Benzina,136.0,Rivenditore,12038,savigliano
BMW 118 118d Msport auto,https://www.autoscout24.it/annunci/bmw-118-118d-msport-auto-diesel-bianco-f453854d-334e-453e-b28b-b97973ad7bb9,118d,29900.0,68,automatico,2023,Diesel,136.0,Rivenditore,10036,settimo torinese
BMW 116 116d Business Advantage auto,https://www.autoscout24.it/annunci/bmw-116-116d-business-advantage-auto-diesel-nero-ceaa8962-1883-49c9-9cd9-81d29f23d32f,116d,22000.0,68,automatico,2022,Diesel,136.0,Rivenditore,3039,sora
BMW 118 d Msport auto,https://www.autoscout24.it/annunci/bmw-118-d-msport-auto-diesel-5d178d8e-0e96-4166-b4f6-70a3a1be105c,118d,28000.0,8,automatico,2024,Diesel,136.0,Rivenditore,20142,milano
BMW 118i 5p. Msport Virtual,https://www.autoscout24.it/annunci/bmw-118-118i-5p-msport-virtual-benzina-grigio-c322c7ac-2bd0-4368-8c21-aba9a86df243,118i,,,automatico,,Benzina,136.0,Rivenditore,10034,chivasso
BMW 120 120i 5p. Msport,https://www.autoscout24.it/annunci/bmw-120-120i-5p-msport-benzina-bianco-c3826b5e-6d37-4f10-8a17-cd113b5424eb,120i,28590.0,56,automatico,2021,Benzina,136.0,Rivenditore,21044,cavaria con premezzo
BMW 118 118d Msport,https://www.autoscout24.it/annunci/bmw-118-118d-msport-diesel-grigio-87b0fb3d-a2c8-43c9-b878-cea72d7fff92,118d,27499.0,50,automatico,2022,Diesel,136.0,Rivenditore,37135,verona
BMW 118 d Msport auto,https://www.autoscout24.it/annunci/bmw-118-d-msport-auto-diesel-grigio-6f421b8f-2b75-4b50-aa3d-394881c9e32a,118d,28000.0,8,automatico,2024,Diesel,136.0,Rivenditore,20142,milano
BMW 116 116d Msport auto,https://www.autoscout24.it/annunci/bmw-116-116d-msport-auto-diesel-bianco-da8bb7f4-f01f-48b5-bda0-e2c4d15702c9,116d,28800.0,40,automatico,2023,Diesel,136.0,Rivenditore,6129,perugia
BMW 118 118i 5p. Msport Auto.,https://www.autoscout24.it/annunci/bmw-118-118i-5p-msport-auto-benzina-blu-azzurro-12edb475-5c5c-4361-a1a6-1750f8bb2611,118i,28900.0,16,automatico,2024,Benzina,136.0,Rivenditore,20157,milano
BMW 116 d 5p. Msport NEOPATENTATI,https://www.autoscout24.it/annunci/bmw-116-d-5p-msport-neopatentati-diesel-nero-1fd795a9-feb5-4bfb-8e70-af7cb5bde318,116d,27000.0,31,automatico,2021,Diesel,136.0,Rivenditore,40121,bologna
BMW 118 d Msport auto,https://www.autoscout24.it/annunci/bmw-118-d-msport-auto-diesel-grigio-ed007c0f-f823-4223-94bf-d6016d6f3fc5,118d,30000.0,1,automatico,2024,Diesel,136.0,Rivenditore,20142,milano
BMW 120 120i 5p. Msport,https://www.autoscout24.it/annunci/bmw-120-120i-5p-msport-benzina-blu-azzurro-2b8d58b6-cc9e-445d-880d-718559e88e5b,120i,29490.0,21,automatico,2021,Benzina,136.0,Rivenditore,21044,cavaria con premezzo
BMW 120 d Msport auto,https://www.autoscout24.it/annunci/bmw-120-d-msport-auto-diesel-grigio-61fcb5e9-111b-42a1-bd4d-6913bb90753a,120d,29500.0,53,automatico,2021,Diesel,136.0,Rivenditore,45100,rovigo
BMW 118 Serie 1 F70 118d MSport Pro auto,https://www.autoscout24.it/annunci/bmw-118-serie-1-f70-118d-msport-pro-auto-diesel-grigio-a053ef82-c694-4214-9533-79f0a66bf69b,118d,33900.0,8,automatico,2024,Diesel,136.0,Rivenditore,,
BMW 135 M 135i xdrive auto SEDILI SPORTIVI ALCANTARA,https://www.autoscout24.it/annunci/bmw-135-m-135i-xdrive-auto-sedili-sportivi-alcantara-benzina-blu-azzurro-ea047e48-edf3-40f4-8376-d5681a98f1e3,M135i xDrive,32900.0,33,automatico,2020,Benzina,136.0,Rivenditore,,
BMW 120 120i Msport Design auto KM0,https://www.autoscout24.it/annunci/bmw-120-120i-msport-design-auto-km0-benzina-bianco-7046ae32-d93b-493f-90c5-88fd65bc7585,120i,32900.0,1,automatico,2025,Benzina,136.0,Rivenditore,,
BMW 128 128ti auto 128 TI VARI COLORI DISPONIBILI,https://www.autoscout24.it/annunci/bmw-128-128ti-auto-128-ti-vari-colori-disponibili-benzina-blu-azzurro-45fa38c9-8dfb-4235-8285-224ad71e711f,128ti,32900.0,19,automatico,2022,Benzina,136.0,Rivenditore,,
BMW 135 M 135i xDrive,https://www.autoscout24.it/annunci/bmw-135-m-135i-xdrive-benzina-nero-7b1f9c2f-76b0-4133-84db-ac4bca470ecd,M135i xDrive,34900.0,16,automatico,2022,Benzina,136.0,Rivenditore,,
BMW 118 Serie 1 F40 118d Msport auto,https://www.autoscout24.it/annunci/bmw-118-serie-1-f40-118d-msport-auto-diesel-nero-f089a042-ef88-4d4c-897a-ce766801c7a6,118d,30900.0,17,automatico,2024,Diesel,136.0,Rivenditore,,
BMW 120 120i Msport Design auto KM0,https://www.autoscout24.it/annunci/bmw-120-120i-msport-design-auto-km0-benzina-bianco-24d1038f-fe26-407d-b2ca-0c7b57aacbd6,120i,,1,automatico,2025,Benzina,136.0,Rivenditore,,
BMW 118 Serie 1 F70 118d MSport Pro auto,https://www.autoscout24.it/annunci/bmw-118-serie-1-f70-118d-msport-pro-auto-diesel-grigio-c596f8ae-6145-46e3-bb44-13d982d3c494,118d,33900.0,8,automatico,2024,Diesel,136.0,Rivenditore,,
"BMW 118 i 5p. Msport M sport +TETTO+SEDILI GUSCIO+19""+",https://www.autoscout24.it/annunci/bmw-118-i-5p-msport-m-sport-tetto-sedili-guscio-19-benzina-nero-caa1743d-10ab-4f89-a91b-01a90202314b,118i,33990.0,17,automatico,2024,Benzina,136.0,Rivenditore,,
BMW 128,https://www.autoscout24.it/annunci/bmw-128-benzina-nero-7bb780de-592f-40a2-8be9-ff1e5993ed3b,,32900.0,,automatico,,Benzina,136.0,Rivenditore,,
BMW 135 Serie 1 M 135i xdrive UFFICIALE BMW HARMAN-HANDUP,https://www.autoscout24.it/annunci/bmw-135-serie-1-m-135i-xdrive-ufficiale-bmw-harman-handup-benzina-bianco-30801674-23eb-480b-82ef-e060e9715c03,M135i xDrive,30990.0,40,automatico,2020,Benzina,136.0,Rivenditore,,
BMW 118 118d Msport M sport Pro + cerchi 19/tetto apribile,https://www.autoscout24.it/annunci/bmw-118-118d-msport-m-sport-pro-cerchi-19-tetto-apribile-diesel-nero-7f8c8fd6-e676-4977-bf0a-bcddcd9db9d6,118d,37990.0,10,automatico,2024,Diesel,136.0,Rivenditore,,
BMW 118 118i 5p. Msport DOPPIO KIT CERCHI E GOMME,https://www.autoscout24.it/annunci/bmw-118-118i-5p-msport-doppio-kit-cerchi-e-gomme-benzina-grigio-c992bc3a-3e4e-4111-b29d-fb68b54123d0,118i,31900.0,15,automatico,2024,Benzina,136.0,Rivenditore,,
BMW 128 128ti auto,https://www.autoscout24.it/annunci/bmw-128-128ti-auto-benzina-nero-9a767b26-0483-4e2a-bbd3-2908836d3b2c,128ti,37500.0,54,automatico,2022,Benzina,136.0,Rivenditore,,
BMW 118 118d Msport auto pinze rosse,https://www.autoscout24.it/annunci/bmw-118-118d-msport-auto-pinze-rosse-diesel-grigio-fb0adb1d-18c6-4409-8658-1d370c82a252,118d,30800.0,35,automatico,2023,Diesel,136.0,Rivenditore,,
"BMW 120 d xDrive 5p. Msport GUSCI-BLACK PACK-19""",https://www.autoscout24.it/annunci/bmw-120-d-xdrive-5p-msport-gusci-black-pack-19-diesel-grigio-82484c1a-56d5-4cb9-bc83-ad339c14a594,120d xDrive,33990.0,30,automatico,2020,Diesel,136.0,Rivenditore,,
BMW 118 d M Sport *NUOVO MODELLO*PREZZO REALE*,https://www.autoscout24.it/annunci/bmw-118-d-m-sport-nuovo-modello-prezzo-reale-diesel-grigio-394ff5e1-dfcf-4796-892d-da4607066d8f,118d,34990.0,6,automatico,2024,Diesel,136.0,Rivenditore,,
BMW 120 d xDrive 5p. Msport SEDILI A GUSCIO ELETTRICI,https://www.autoscout24.it/annunci/bmw-120-d-xdrive-5p-msport-sedili-a-guscio-elettrici-diesel-nero-1c30cc44-6858-4553-b3df-ffc04815581e,120d xDrive,30990.0,51,automatico,2020,Diesel,136.0,Rivenditore,,
BMW 118 Serie 1 F40 118d Msport auto,https://www.autoscout24.it/annunci/bmw-118-serie-1-f40-118d-msport-auto-diesel-grigio-211e7ade-8c28-4644-9b8f-e359adae7a09,118d,30499.0,52,automatico,2022,Diesel,136.0,Rivenditore,,
