Prezzo,Anni,Chilometraggio,Cambio,CV,Venditore,Distanza,is_Diesel vs Benzina,is_Ibrido vs Benzina,is_sport vs base,is_performance vs base,is_middle vs base,is NO vs NE,is Centro vs NE,is Sud_Isole vs NE
27900,1,10,1,136,1,203,0,0,1,0,0,1,0,0
24000,3,57,1,136,1,383,1,0,0,0,0,0,1,0
21900,4,44,1,136,1,111,1,0,0,0,0,0,1,0
26000,1,14,1,136,1,177,1,0,1,0,0,1,0,0
31950,1,23,1,136,1,180,0,0,1,0,0,1,0,0
22700,3,55,1,136,1,291,0,0,0,0,0,0,1,0
25900,2,60,1,136,1,381,1,0,0,0,0,0,1,0
26000,1,13,1,136,1,177,1,0,1,0,0,1,0,0
26500,3,18,1,136,1,77,0,0,1,0,0,0,0,0
26300,3,65,1,136,1,121,1,0,1,0,0,1,0,0
28900,2,11,1,136,1,100,0,0,1,0,0,0,1,0
27960,4,53,1,136,1,196,1,0,1,0,0,1,0,0
23900,5,59,1,136,1,127,0,0,1,0,0,0,0,0
23990,4,53,1,136,1,342,0,0,1,0,0,0,1,0
25900,2,25,1,136,1,695,1,0,0,0,0,0,0,1
21800,4,45,1,136,1,31,1,0,0,0,0,0,0,0
25500,2,38,1,136,1,119,1,0,0,0,0,1,0,0
25790,4,41,1,136,1,326,0,0,1,0,0,0,1,0
28900,4,61,1,136,1,389,1,0,1,0,0,0,0,1
28000,1,2,1,136,1,177,1,0,1,0,0,1,0,0
26490,4,34,1,136,1,326,0,0,1,0,0,0,1,0
27900,5,46,1,136,1,211,1,0,1,0,0,0,1,0
27600,4,55,1,136,1,386,1,0,1,0,0,0,1,0
22490,3,61,1,136,1,326,1,0,0,0,0,0,1,0
24900,4,67,1,136,1,184,1,0,1,0,0,1,0,0
23999,5,46,1,136,1,25,0,0,1,0,0,0,0,0
24900,2,57,1,136,1,125,0,0,0,0,0,0,0,0
26000,1,12,1,136,1,177,1,0,1,0,0,1,0,0
28000,1,9,1,136,1,177,1,0,1,0,0,1,0,0
27400,2,31,1,136,1,16,0,0,1,0,0,0,0,0
28500,3,28,1,136,1,104,1,0,1,0,0,1,0,0
26000,1,15,1,136,1,177,1,0,1,0,0,1,0,0
28500,2,39,1,136,1,750,1,0,0,0,0,0,0,1
28490,3,46,1,136,1,162,1,0,1,0,0,1,0,0
23950,4,60,1,136,1,319,0,0,1,0,0,0,1,0
28900,2,27,1,136,1,695,1,0,0,0,1,0,0,1
26500,4,67,1,136,1,190,1,0,1,0,0,1,0,0
24950,4,57,1,136,1,14,1,0,0,0,0,0,0,0
24600,2,29,1,136,1,326,1,0,0,1,0,0,1,0
28900,3,19,1,136,1,77,0,0,1,0,0,0,0,0
26400,2,24,1,136,1,146,1,0,0,0,0,1,0,0
20800,4,64,1,136,1,87,1,0,0,0,0,1,0,0
27900,4,37,1,136,1,216,0,0,1,0,0,1,0,0
20500,4,58,1,136,1,496,1,0,0,0,0,0,0,1
29900,5,55,1,136,1,292,1,0,0,0,0,0,1,0
27500,5,69,1,136,1,203,1,0,1,0,0,1,0,0
23900,4,66,1,136,1,383,1,0,0,0,0,0,1,0
29900,5,61,1,136,1,288,1,0,1,0,0,1,0,0
28000,1,8,1,136,1,177,1,0,1,0,0,1,0,0
24900,3,32,1,136,1,262,0,0,1,0,0,1,0,0
27890,4,37,1,136,1,837,1,0,1,0,0,0,0,1
28950,3,49,1,136,1,14,1,0,0,0,1,0,0,0
28700,2,38,1,136,1,750,0,0,0,0,0,0,0,1
22300,5,53,1,136,1,99,1,0,0,0,0,0,1,0
29900,2,31,1,136,1,283,1,0,1,0,0,1,0,0
23900,4,63,1,136,1,326,1,0,1,0,0,0,1,0
27990,2,18,1,136,1,203,0,0,1,0,0,1,0,0
28000,1,7,1,136,1,177,1,0,1,0,0,1,0,0
26900,4,64,1,136,1,653,1,0,1,0,0,0,0,1
23900,5,49,1,136,1,156,0,0,1,0,0,0,0,0
25900,2,60,1,136,1,381,1,0,0,0,0,0,1,0
25800,2,9,1,136,1,326,1,0,0,1,0,0,1,0
28500,2,11,1,136,1,256,0,0,1,0,0,1,0,0
23500,5,39,1,136,1,142,1,0,0,0,0,0,0,0
28400,1,17,1,136,1,256,0,0,1,0,0,1,0,0
27900,3,29,1,136,1,68,0,0,1,0,0,0,0,0
24900,2,26,1,136,1,358,1,0,0,0,0,0,1,0
27399,3,44,1,136,1,177,1,0,1,0,0,1,0,0
29000,1,16,1,136,1,256,0,0,1,0,0,1,0,0
26900,2,21,1,136,1,262,0,0,1,0,0,1,0,0
27000,4,66,1,136,1,98,1,0,1,0,0,0,1,0
29990,3,60,1,136,1,215,1,0,1,0,0,0,0,0
26000,1,15,1,136,1,177,1,0,1,0,0,1,0,0
28611,5,9,1,136,1,194,0,0,0,0,1,0,1,0
24000,4,67,1,136,1,499,0,0,1,0,0,0,0,1
27900,2,33,1,136,1,200,0,0,1,0,0,0,1,0
27900,2,24,1,136,1,533,1,0,1,0,0,0,0,1
26500,5,58,1,136,1,121,0,0,1,0,0,1,0,0
29800,2,57,1,136,1,200,1,0,1,0,0,0,1,0
24900,4,46,1,136,1,16,1,0,0,0,1,0,0,0
25900,5,50,1,136,1,276,0,0,0,0,1,1,0,0
23490,4,66,1,136,1,342,0,0,1,0,0,0,1,0
26900,2,19,1,136,1,262,0,0,1,0,0,1,0,0
26900,2,21,1,136,1,262,0,0,1,0,0,1,0,0
28990,1,8,1,136,1,290,0,0,1,0,0,1,0,0
25890,4,63,1,136,1,326,1,0,1,0,0,0,1,0
22500,4,64,1,136,1,177,1,0,0,0,1,1,0,0
26000,1,11,1,136,1,177,1,0,1,0,0,1,0,0
25100,2,9,1,136,1,326,0,0,0,1,0,0,1,0
26000,1,17,1,136,1,177,1,0,1,0,0,1,0,0
27950,5,28,1,136,1,14,0,0,1,0,0,0,0,0
29950,3,48,1,136,1,14,0,0,1,0,0,0,0,0
24000,5,67,1,136,1,98,1,0,1,0,0,0,1,0
26790,5,51,1,136,1,326,0,0,1,0,0,0,1,0
29950,3,43,1,136,1,14,0,0,1,0,0,0,0,0
27800,4,60,1,136,1,141,0,0,1,0,0,1,0,0
27900,1,15,1,136,1,16,0,0,0,0,1,0,0,0
26600,4,38,1,136,1,177,0,0,1,0,0,1,0,0
26400,4,68,1,136,1,101,1,0,1,0,0,0,0,0
26000,1,13,1,136,1,177,1,0,1,0,0,1,0,0
26900,2,26,1,136,1,262,0,0,1,0,0,1,0,0
28000,1,10,1,136,1,177,1,0,1,0,0,1,0,0
24900,2,44,1,136,1,121,1,0,0,1,0,1,0,0
29900,1,11,1,136,1,100,0,0,1,0,0,0,1,0
26000,1,11,1,136,1,177,1,0,1,0,0,1,0,0
29900,1,20,1,136,1,276,1,0,1,0,0,1,0,0
28000,1,6,1,136,1,177,1,0,1,0,0,1,0,0
26000,1,19,1,136,1,177,1,0,1,0,0,1,0,0
28000,3,67,1,136,1,389,1,0,1,0,0,0,0,1
25500,5,59,1,136,1,156,0,0,1,0,0,0,0,0
26790,4,61,1,136,1,326,1,0,0,0,1,0,1,0
27900,3,45,1,136,1,326,1,0,1,0,0,0,1,0
31900,1,22,1,136,1,194,1,0,0,0,0,0,1,0
28000,1,5,1,136,1,177,1,0,1,0,0,1,0,0
29690,2,46,1,136,1,99,1,0,1,0,0,0,1,0
26499,4,11,1,136,1,504,1,0,1,0,0,0,0,1
22500,5,48,1,136,1,429,1,0,0,0,0,0,1,0
27900,3,51,1,136,1,140,1,0,1,0,0,0,1,0
28000,1,7,1,136,1,177,1,0,1,0,0,1,0,0
23900,4,31,1,136,1,383,1,0,0,0,0,0,1,0
24900,4,52,1,136,1,750,1,0,0,0,0,0,0,1
29990,2,68,1,136,1,708,1,0,1,0,0,0,0,1
29690,2,46,1,136,1,184,1,0,1,0,0,1,0,0
28000,1,4,1,136,1,177,1,0,1,0,0,1,0,0
28000,1,7,1,136,1,177,1,0,1,0,0,1,0,0
29000,1,3,1,136,1,177,1,0,1,0,0,1,0,0
27600,3,29,1,136,1,177,0,0,1,0,0,1,0,0
28900,4,26,1,136,1,326,0,1,0,0,0,0,1,0
29900,2,68,1,136,1,177,1,0,1,0,0,1,0,0
28000,1,8,1,136,1,177,1,0,1,0,0,1,0,0
28700,2,28,1,136,1,16,1,0,1,0,0,0,0,0
29690,2,46,1,136,1,495,1,0,1,0,0,0,0,1
27900,3,49,1,136,1,200,1,0,1,0,0,0,1,0
26900,3,17,1,136,1,262,0,0,1,0,0,1,0,0
27900,3,15,1,136,1,262,0,0,1,0,0,1,0,0
26400,2,24,1,136,1,119,1,0,0,0,0,1,0,0
28900,2,7,1,136,1,92,1,0,0,0,0,0,1,0
22300,4,66,1,136,1,275,0,0,0,0,0,1,0,0
29900,2,68,1,136,1,270,1,0,1,0,0,1,0,0
22000,3,68,1,136,1,384,1,0,0,0,0,0,1,0
28000,1,8,1,136,1,177,1,0,1,0,0,1,0,0
28590,4,56,1,136,1,216,0,0,1,0,0,1,0,0
27499,3,50,1,136,1,86,1,0,1,0,0,0,0,0
28000,1,8,1,136,1,177,1,0,1,0,0,1,0,0
28800,2,40,1,136,1,200,1,0,1,0,0,0,1,0
28900,1,16,1,136,1,177,0,0,1,0,0,1,0,0
27000,4,31,1,136,1,25,1,0,1,0,0,0,0,0
30000,1,1,1,136,1,177,1,0,1,0,0,1,0,0
29490,4,21,1,136,1,216,0,0,1,0,0,1,0,0
29500,4,53,1,136,1,68,1,0,1,0,0,0,0,0
6800,1,62,1,109,1,65,0,0,0,1,0,0,0,0
7300,3,6,1,109,1,66,0,0,0,0,0,0,0,0
9300,5,50,1,150,1,66,1,0,1,0,0,0,0,0
9400,0,115,1,109,1,276,1,0,0,1,0,1,0,0
9499,4,51,1,136,1,512,0,0,0,1,0,0,0,1
12990,5,169,1,116,1,326,1,0,0,0,1,0,1,0
13900,5,211,1,116,1,807,1,0,0,0,0,0,0,1
14900,5,178,1,116,1,112,1,0,0,0,1,0,0,0
14990,5,180,1,150,1,607,1,0,0,0,0,0,0,1
14990,5,180,1,150,1,848,1,0,0,0,0,0,0,1
14999,5,180,1,116,1,304,1,0,0,0,0,0,0,1
14999,5,180,1,116,1,304,1,0,0,0,0,0,0,1
15000,5,179,1,150,1,607,1,0,0,0,0,0,0,1
15000,5,179,1,150,1,848,1,0,0,0,0,0,0,1
