Prezzo,Anni,Chilometraggio,Cambio,CV,Venditore,Distanza,is_Ibrido vs Benzina,is_Diesel vs Benzina,is_sport vs base,is_performance vs base,is_middle vs base,is NO vs NE,is Centro vs NE,is Sud_Isole vs NE
20990,3,58990,1,110,1,611,1,0,0,0,0,0,0,1
23900,3,108000,1,110,1,928,1,0,1,0,0,0,0,1
22900,4,95500,0,110,1,177,0,1,0,0,0,1,0,0
24500,3,79100,1,110,1,105,0,1,0,0,0,0,1,0
18300,5,119000,1,110,1,653,0,1,0,0,1,0,0,1
20500,5,75000,1,110,1,202,1,0,0,1,0,1,0,0
23900,4,46000,1,110,1,105,0,0,0,0,0,0,1,0
21500,4,134000,1,110,1,712,0,1,1,0,0,0,0,1
23000,4,106548,1,110,1,231,0,1,0,0,1,0,1,0
22500,5,23900,0,110,1,68,0,1,0,0,0,0,0,0
16500,5,130000,0,110,1,99,0,1,0,1,0,0,1,0
24500,3,81792,1,110,1,695,0,1,0,0,0,0,0,1
24999,3,46500,1,110,1,125,1,0,0,0,1,0,0,0
23890,4,71000,1,110,1,156,0,0,0,0,1,1,0,0
22900,4,77000,0,110,1,106,0,1,0,0,0,0,1,0
24599,3,46481,1,110,1,25,1,0,0,0,1,0,0,0
14900,5,163000,1,110,1,131,0,1,0,0,0,0,1,0
22500,5,77119,1,110,1,25,1,0,0,0,1,0,0,0
24499,4,94000,1,110,1,638,0,1,1,0,0,0,0,1
24200,3,69638,1,110,1,177,0,1,0,0,0,1,0,0
15799,5,102000,1,110,1,48,0,0,0,0,0,0,0,0
22900,4,107555,0,110,1,757,0,1,0,0,1,0,0,1
23900,3,43443,1,110,1,276,1,0,0,0,1,1,0,0
17900,5,112900,1,110,1,189,1,0,0,1,0,1,0,0
21500,4,144164,1,110,1,163,0,1,0,0,0,0,0,0
24900,5,118000,1,110,1,492,0,1,0,1,0,0,0,1
21900,5,39411,1,110,1,275,1,0,0,0,1,1,0,0
21490,5,59000,1,110,1,164,0,1,0,0,0,0,1,0
20500,5,135573,1,110,1,25,0,1,0,0,1,0,0,0
24990,2,90612,1,110,1,354,0,1,0,0,1,0,1,0
21599,4,40721,0,110,1,326,0,0,0,0,1,0,1,0
18990,4,215000,1,110,1,578,0,1,0,0,1,0,0,1
24900,5,130600,0,110,1,720,0,1,1,0,0,0,0,1
18980,4,229000,1,110,1,578,0,1,1,0,0,0,0,1
24700,4,36711,0,110,1,126,0,1,0,0,1,0,0,0
18900,5,94500,1,110,1,695,0,1,0,0,0,0,0,1
24400,5,48956,0,110,1,147,0,1,0,0,1,1,0,0
20900,5,44427,0,110,1,92,0,1,0,0,1,0,1,0
23999,4,71000,1,110,1,542,0,1,0,0,1,0,0,1
18990,5,104033,1,110,1,712,1,0,0,1,0,0,0,1
20490,4,84090,0,110,1,180,0,1,0,0,0,1,0,0
23800,5,93000,1,110,1,292,0,1,0,1,0,1,0,0
20900,5,93404,1,110,1,607,0,1,0,0,1,0,0,1
19500,5,87663,1,110,1,22,0,1,0,0,0,0,0,0
23900,2,40981,0,110,1,276,0,1,0,0,0,1,0,0
24800,3,54000,0,110,1,159,0,1,0,0,0,0,0,0
22490,4,50990,1,110,1,611,1,0,0,0,1,0,0,1
17900,4,208017,1,110,1,175,0,1,0,0,1,1,0,0
25000,3,58103,1,110,1,140,1,0,0,0,1,0,1,0
25000,5,99000,1,110,1,211,0,1,0,0,1,0,1,0
23500,5,61948,0,110,1,357,0,1,0,0,1,0,0,1
23900,3,61608,1,110,1,284,1,0,0,0,1,1,0,0
22750,4,53000,1,110,1,20,0,0,0,0,1,0,0,0
24990,2,35970,1,110,1,190,0,0,0,0,1,1,0,0
20600,5,66000,1,110,1,533,0,1,0,0,0,0,0,1
19500,5,78000,1,110,1,259,0,0,0,0,1,1,0,0
24900,3,74690,1,110,1,42,0,0,0,0,0,0,0,0
21300,4,64676,0,110,1,285,0,0,0,0,0,1,0,0
22750,4,53000,1,110,1,20,1,0,0,0,1,0,0,0
23990,3,132000,1,110,1,695,0,1,0,0,1,0,0,1
24990,4,83900,1,110,1,162,0,1,1,0,0,1,0,0
22700,5,47428,0,110,1,5,0,0,0,0,0,0,0,0
23299,4,149000,1,110,1,728,0,1,0,0,1,0,0,1
23900,5,39850,1,110,1,292,1,0,0,1,0,1,0,0
23990,4,139000,1,110,1,204,0,1,0,0,1,1,0,0
17900,5,143000,1,110,1,319,0,0,1,0,0,0,1,0
23700,3,41400,1,110,1,121,1,0,0,0,0,0,0,0
23000,3,79500,1,110,1,326,1,0,1,0,0,0,1,0
22900,4,111000,1,110,1,105,0,0,0,0,1,0,1,0
21990,4,95000,0,110,1,162,0,1,0,0,1,1,0,0
23900,3,125000,1,110,1,141,0,1,0,0,1,1,0,0
23890,4,71000,1,110,1,156,1,0,0,0,1,1,0,0
24900,5,63059,1,110,1,239,0,0,0,0,0,0,1,0
23800,3,84660,1,110,1,239,0,1,0,0,0,1,0,0
22900,4,118000,1,110,1,326,1,0,0,0,1,0,1,0
22490,4,50990,1,110,1,339,1,0,0,0,1,0,1,0
24499,4,50677,1,110,1,86,0,1,0,0,1,0,0,0
22800,4,118000,1,110,1,667,1,0,0,0,1,0,0,1
24900,3,108684,1,110,1,483,0,1,0,0,1,0,0,1
21900,5,47000,0,110,1,109,0,1,0,0,1,1,0,0
24900,5,28800,0,110,1,283,0,1,0,0,0,1,0,0
22490,4,50990,1,110,1,495,1,0,0,0,1,0,0,1
22900,3,130787,1,110,1,695,0,1,0,0,0,0,0,1
24500,3,120200,1,110,1,198,0,1,0,0,1,1,0,0
24900,4,70000,1,110,1,137,1,0,0,0,1,0,0,0
22000,4,108000,0,110,1,123,0,1,0,1,0,0,0,0
22990,5,45000,0,110,1,326,0,1,0,0,1,0,1,0
24900,5,98060,1,110,1,261,0,1,0,0,1,0,1,0
24000,3,89145,0,110,1,140,0,1,0,0,0,0,1,0
24440,3,83000,1,110,1,506,0,1,0,0,0,0,0,1
22900,5,72000,1,110,1,142,0,0,0,0,1,0,0,0
22900,5,72000,1,110,1,142,1,0,0,0,1,0,0,0
