Annuncio,Link,Marca,Modello,Modello_plus_info,Prezzo_scont,Prezzo,Chilometraggio,Cambio,Immatricolazione,Carburante,CV,Località
"Mercedes-Benz
A 180
A 180 d Automatic AMG Line Advanced",https://www.autoscout24.it/annunci/mercedes-benz-a-180-a-180-d-automatic-amg-line-advanced-diesel-3995d4ce-ea75-4c60-8ba3-fa8d0723bc4e,Mercedes-Benz,A 180,A 180 d Automatic AMG Line Advanced,,€ 36.390,- km,Semiautomatico,- (Anno),Diesel,85 kW (116 CV),Servizio Clienti • IT-40033 Casalecchio di Reno - Bologna - Bo
"Mercedes-Benz
A 180
- A 180 d Advanced auto",https://www.autoscout24.it/annunci/mercedes-benz-a-180-a-180-d-advanced-auto-diesel-bianco-71c0c253-627e-4cc0-9c29-a14ac9dd84cb,Mercedes-Benz,A 180,- A 180 d Advanced auto,,€ 27.930,28.281 km,Automatico,07/2023,Diesel,85 kW (116 CV),Responsabile web Guidi • IT-55100 Lucca - Lu
"Mercedes-Benz
A 180
Amg Line",https://www.autoscout24.it/annunci/mercedes-benz-a-180-amg-line-benzina-nero-4b7efd73-7e5d-44e6-beed-b0bf0f831484,Mercedes-Benz,A 180,Amg Line,,€ 34.200,5.000 km,Manuale,11/2022,Benzina,100 kW (136 CV),Giordano Nasi • IT-41051 Castelnuovo Rangone - Modena - Mo
"Mercedes-Benz
A 180",https://www.autoscout24.it/annunci/mercedes-benz-a-180-benzina-nero-fade8568-d0a8-4545-a12a-6247c2683c5f,Mercedes-Benz,A 180,,,€ 34.300,0 km,Automatico,- (Anno),Benzina,100 kW (136 CV),Responsabile web Guidi • IT-55100 Lucca - Lu
"Mercedes-Benz
A 180
180 d premium auto",https://www.autoscout24.it/annunci/mercedes-benz-a-180-180-d-premium-auto-diesel-nero-3650abd9-0a77-49e3-afc5-517d711d4a2c,Mercedes-Benz,A 180,180 d premium auto,,€ 32.800,39.319 km,Semiautomatico,10/2022,Diesel,85 kW (116 CV),"Concessionaria Ufficiale Mercedes-Benz, Smart, AMG • IT-36040 Torri di Quartesolo - Vicenza"
,https://www.autoscout24.it/annunci/mercedes-benz-a-180-a-180-d-amg-line-advanced-plus-auto-diesel-grigio-1181f564-9576-440d-8ba3-ef0ad7113fba,Mercedes-Benz,A 180,A 180 d AMG Line Advanced Plus Auto,,,,,,,,Responsabile vendite . • IT-50100 Firenze
"Mercedes-Benz
A 180
A 180 Executive",https://www.autoscout24.it/annunci/mercedes-benz-a-180-a-180-executive-elettrica-benzina-nero-303c736b-cf52-469f-869b-70ea3b5c0e76,Mercedes-Benz,A 180,A 180 Executive,,€ 32.600,- km,Automatico,- (Anno),Elettrica/Benzina,100 kW (136 CV),Servizio Clienti • IT-40026 Imola -  Bologna
"Mercedes-Benz
A 250
A 250 e hybrid EQ AMG Line Advanced Plus",https://www.autoscout24.it/annunci/mercedes-benz-a-250-a-250-e-hybrid-eq-amg-line-advanced-plus-elettrica-benzina-bianco-67261581-535a-4f50-965d-db9ac6d95046,Mercedes-Benz,A 250,A 250 e hybrid EQ AMG Line Advanced Plus,,€ 37.950,18.800 km,Automatico,05/2024,Elettrica/Benzina,160 kW (218 CV),"Italo, Stefano, Mirko, Rossano, Francesco, Mario, Carlo, Diego, Attilio, Mattia, Diego, Simone, Francesco, Valentina, David • IT-40066 Pieve Di Cento - Bologna - Bo"
"Mercedes-Benz
A 200
- A 200 d Sport 4matic auto",https://www.autoscout24.it/annunci/mercedes-benz-a-200-a-200-d-sport-4matic-auto-diesel-blu-azzurro-be563e41-228a-441d-b594-fa3c3dc9b76a,Mercedes-Benz,A 200,- A 200 d Sport 4matic auto,,€ 29.300,57.583 km,Automatico,03/2020,Diesel,110 kW (150 CV),Ufficio Web • IT-51013 Chiesina Uzzanese -Pistoia
"Mercedes-Benz
A 180
A 180 d Sport Night edition auto",https://www.autoscout24.it/annunci/mercedes-benz-a-180-a-180-d-sport-night-edition-auto-diesel-nero-d047e6db-27f1-4400-87d5-a34ade5b5325,Mercedes-Benz,A 180,A 180 d Sport Night edition auto,,€ 27.490,44.501 km,Automatico,05/2021,Diesel,85 kW (116 CV),Responsabile vendite . • IT-50100 Firenze
"Mercedes-Benz
A 180
A 180 Automatic AMG Line Advanced Plus",https://www.autoscout24.it/annunci/mercedes-benz-a-180-a-180-automatic-amg-line-advanced-plus-elettrica-benzina-bianco-dc94ca33-db59-4cbb-9cfa-408c301fcf47,Mercedes-Benz,A 180,A 180 Automatic AMG Line Advanced Plus,,€ 34.950,15.800 km,Automatico,02/2023,Elettrica/Benzina,100 kW (136 CV),"Italo, Stefano, Mirko, Rossano, Francesco, Mario, Carlo, Diego, Attilio, Mattia, Diego, Simone, Francesco, Valentina, David • IT-40066 Pieve Di Cento - Bologna - Bo"
"Mercedes-Benz
A 200
SPORT VARI COLORI E ALLESTIMENTI DISPONIBILI",https://www.autoscout24.it/annunci/mercedes-benz-a-200-sport-vari-colori-e-allestimenti-disponibili-diesel-nero-ebc89f24-3197-4968-a194-54f310ae307b,Mercedes-Benz,A 200,SPORT  VARI COLORI E ALLESTIMENTI DISPONIBILI,,€ 32.900,18.100 km,Automatico,05/2024,Diesel,120 kW (163 CV),Ufficio Vendite Race Car • IT-37040 Z.a.i. - Verona - VR
"Mercedes-Benz
A 180
Automatic Progressive",https://www.autoscout24.it/annunci/mercedes-benz-a-180-automatic-progressive-benzina-nero-8966c76a-f3ef-47dd-8c4d-bcebfb38979c,Mercedes-Benz,A 180,Automatic Progressive,,€ 32.400,2.600 km,Automatico,06/2022,Benzina,100 kW (136 CV),Giordano Nasi • IT-41051 Castelnuovo Rangone - Modena - Mo
"Mercedes-Benz
A 250
A 250 e hybrid EQ AMG Line Advanced Plus",https://www.autoscout24.it/annunci/mercedes-benz-a-250-a-250-e-hybrid-eq-amg-line-advanced-plus-elettrica-benzina-nero-894141ab-dd59-4396-a33c-14a81151838b,Mercedes-Benz,A 250,A 250 e hybrid EQ AMG Line Advanced Plus,,€ 37.950,10.999 km,Automatico,03/2024,Elettrica/Benzina,160 kW (218 CV),"Italo, Stefano, Mirko, Rossano, Francesco, Mario, Carlo, Diego, Attilio, Mattia, Diego, Simone, Francesco, Valentina, David • IT-40066 Pieve Di Cento - Bologna - Bo"
"Mercedes-Benz
A 180
A 180 Business Automatic",https://www.autoscout24.it/annunci/mercedes-benz-a-180-a-180-business-automatic-benzina-nero-73b66324-2b8b-44d4-bf3d-fb90713da1b3,Mercedes-Benz,A 180,A 180 Business Automatic,,€ 21.599,57.887 km,Automatico,08/2020,Benzina,100 kW (136 CV),Centro di consegna • IT-40131 Bologna
"Mercedes-Benz
A 180
180 amg line advanced plus auto",https://www.autoscout24.it/annunci/mercedes-benz-a-180-180-amg-line-advanced-plus-auto-elettrica-benzina-nero-8a432a71-f364-464e-81c3-98554cb170a4,Mercedes-Benz,A 180,180 amg line advanced plus auto,,€ 32.800,20.713 km,Semiautomatico,07/2024,Elettrica/Benzina,100 kW (136 CV),"Concessionaria Ufficiale Mercedes-Benz, Smart, AMG • IT-36040 Torri di Quartesolo - Vicenza"
"Mercedes-Benz
A 200
d AMG Line Premium Plus auto",https://www.autoscout24.it/annunci/mercedes-benz-a-200-d-amg-line-premium-plus-auto-diesel-bianco-5850e2c3-f97e-4e83-bc5f-c295f66291b1,Mercedes-Benz,A 200,d AMG Line Premium Plus auto,,€ 34.900,18.400 km,Semiautomatico,01/2024,Diesel,110 kW (150 CV),Marco • IT-55016 Porcari - Lucca - LU
"Mercedes-Benz
A 180
d Automatic AMG Line Advanced Plus",https://www.autoscout24.it/annunci/mercedes-benz-a-180-d-automatic-amg-line-advanced-plus-diesel-grigio-ab2bd3fa-55d1-41da-ad7c-77b1bb0f157e,Mercedes-Benz,A 180,d Automatic AMG Line Advanced Plus,,€ 35.900,10 km,Automatico,03/2025,Diesel,85 kW (116 CV),Responsabile vendite Stefauto spa • IT-40127 Bologna - Bo
"Mercedes-Benz
A 180
A 180 d AMG Line Premium Automatic",https://www.autoscout24.it/annunci/mercedes-benz-a-180-a-180-d-amg-line-premium-automatic-diesel-argento-55226ed0-c85d-4d1d-88d5-c70db1f268a6,Mercedes-Benz,A 180,A 180 d AMG Line Premium Automatic,,€ 37.499,9.351 km,Automatico,07/2024,Diesel,85 kW (116 CV),Centro di consegna • IT-37135 Verona - VR
"Mercedes-Benz
A 250
A 250 e hybrid EQ AMG Line Advanced Plus",https://www.autoscout24.it/annunci/mercedes-benz-a-250-a-250-e-hybrid-eq-amg-line-advanced-plus-elettrica-benzina-bianco-791c8395-b67c-45d7-b194-b191faf80460,Mercedes-Benz,A 250,A 250 e hybrid EQ AMG Line Advanced Plus,,€ 37.950,15.999 km,Automatico,06/2024,Elettrica/Benzina,160 kW (218 CV),"Italo, Stefano, Mirko, Rossano, Francesco, Mario, Carlo, Diego, Attilio, Mattia, Diego, Simone, Francesco, Valentina, David • IT-40066 Pieve Di Cento - Bologna - Bo"
"Mercedes-Benz
A 200
A 200 d Automatic AMG Line Advanced Plus",https://www.autoscout24.it/annunci/mercedes-benz-a-200-a-200-d-automatic-amg-line-advanced-plus-diesel-bianco-2e51e5a4-8277-451a-8308-91b58ef4fde9,Mercedes-Benz,A 200,A 200 d Automatic AMG Line Advanced Plus,,€ 36.950,26.400 km,Automatico,05/2023,Diesel,110 kW (150 CV),"Italo, Stefano, Mirko, Rossano, Francesco, Mario, Carlo, Diego, Attilio, Mattia, Diego, Simone, Francesco, Valentina, David • IT-40066 Pieve Di Cento - Bologna - Bo"
"Mercedes-Benz
A 180
A 180 d Automatic Advanced Progressive auto**",https://www.autoscout24.it/annunci/mercedes-benz-a-180-a-180-d-automatic-advanced-progressive-auto-diesel-nero-ff59f384-9225-484a-83ab-06071f103a46,Mercedes-Benz,A 180,A 180 d Automatic Advanced Progressive auto**,,€ 32.890,1 km,Semiautomatico,09/2023,Diesel,85 kW (116 CV),Vendita & Noleggio • IT-50145 Firenze - FI
"Mercedes-Benz
A 180
180 d premium auto",https://www.autoscout24.it/annunci/mercedes-benz-a-180-180-d-premium-auto-diesel-nero-5f94f7be-7d79-4065-9c5c-32de3569fe46,Mercedes-Benz,A 180,180 d premium auto,,€ 32.600,51.985 km,Semiautomatico,10/2021,Diesel,85 kW (116 CV),"Concessionaria Ufficiale Mercedes-Benz, Smart, AMG • IT-36040 Torri di Quartesolo - Vicenza"
"Mercedes-Benz
A 180
A 180 Business Automatic",https://www.autoscout24.it/annunci/mercedes-benz-a-180-a-180-business-automatic-benzina-nero-79a348c4-e7a4-4d47-902f-b6eaad63953a,Mercedes-Benz,A 180,A 180 Business Automatic,,€ 21.599,57.887 km,Automatico,08/2020,Benzina,100 kW (136 CV),Centro di consegna • IT-37135 Verona - VR
,https://www.autoscout24.it/annunci/mercedes-benz-a-180-a-180-d-advanced-plus-amg-line-night-pack-diesel-nero-e90be099-3740-4548-91b7-a0f3f6ec1577,Mercedes-Benz,A 180,A 180 d Advanced Plus AMG Line NIGHT-PACK,,,,,,,,De Stefani Servizio Clienti • IT-47522 Martorano di Cesena- Cesena
"Mercedes-Benz
A 180
180d 8G-DCT Progressive Line",https://www.autoscout24.it/annunci/mercedes-benz-a-180-180d-8g-dct-progressive-line-diesel-grigio-e006dd3e-7612-40ec-85f7-b8b2cea3efc8,Mercedes-Benz,A 180,180d 8G-DCT Progressive Line,,€ 33.910,11.863 km,Automatico,03/2023,Diesel,85 kW (116 CV),Giordano Nasi • IT-41051 Castelnuovo Rangone - Modena - Mo
"Mercedes-Benz
A 200
A 200 d Automatic Advanced",https://www.autoscout24.it/annunci/mercedes-benz-a-200-a-200-d-automatic-advanced-diesel-bianco-ab216378-e6f2-45d6-b4cd-f56e63d32e92,Mercedes-Benz,A 200,A 200 d Automatic Advanced,,€ 36.950,16.200 km,Automatico,05/2023,Diesel,110 kW (150 CV),"Italo, Stefano, Mirko, Rossano, Francesco, Mario, Carlo, Diego, Attilio, Mattia, Diego, Simone, Francesco, Valentina, David • IT-40066 Pieve Di Cento - Bologna - Bo"
"Mercedes-Benz
A 250
250 e phev (eq-power) premium auto",https://www.autoscout24.it/annunci/mercedes-benz-a-250-250-e-phev-eq-power-premium-auto-elettrica-benzina-bianco-d4e1167a-f152-450a-81b9-fe85ef1b1913,Mercedes-Benz,A 250,250 e phev (eq-power) premium auto,,€ 32.000,66.611 km,Semiautomatico,03/2022,Elettrica/Benzina,160 kW (218 CV),"Concessionaria Ufficiale Mercedes-Benz, Smart, AMG • IT-36040 Torri di Quartesolo - Vicenza"
"Mercedes-Benz
A 180
180d 8G-DCT Progressive Line",https://www.autoscout24.it/annunci/mercedes-benz-a-180-180d-8g-dct-progressive-line-diesel-grigio-36653419-d880-418d-b8f0-d5a755c98334,Mercedes-Benz,A 180,180d 8G-DCT Progressive Line,,€ 33.410,16.133 km,Automatico,05/2023,Diesel,85 kW (116 CV),Giordano Nasi • IT-41051 Castelnuovo Rangone - Modena - Mo
"Mercedes-Benz
A 180
d Automatic",https://www.autoscout24.it/annunci/mercedes-benz-a-180-d-automatic-diesel-nero-76fbef3d-2330-45fd-a79c-d45117088830,Mercedes-Benz,A 180,d Automatic,,€ 37.800,0 km,Automatico,- (Anno),Diesel,85 kW (116 CV),Responsabile web Guidi • IT-55100 Lucca - Lu
"Mercedes-Benz
A 180
180 d premium auto",https://www.autoscout24.it/annunci/mercedes-benz-a-180-180-d-premium-auto-diesel-nero-c4ea03f9-c906-4ee8-a92b-167053ecf5bb,Mercedes-Benz,A 180,180 d premium auto,,€ 30.400,40.198 km,Semiautomatico,08/2021,Diesel,85 kW (116 CV),"Concessionaria Ufficiale Mercedes-Benz, Smart, AMG • IT-36040 Torri di Quartesolo - Vicenza"
"Mercedes-Benz
A 180
180 progressive advanced plus auto",https://www.autoscout24.it/annunci/mercedes-benz-a-180-180-progressive-advanced-plus-auto-elettrica-benzina-bianco-e857d556-116e-4ae1-940e-9f012c18e7ee,Mercedes-Benz,A 180,180 progressive advanced plus auto,,€ 30.000,20.133 km,Semiautomatico,10/2023,Elettrica/Benzina,100 kW (136 CV),"Concessionaria Ufficiale Mercedes-Benz, Smart, AMG • IT-36040 Torri di Quartesolo - Vicenza"
"Mercedes-Benz
A 180
d Automatic AMG Line Advanced Plus",https://www.autoscout24.it/annunci/mercedes-benz-a-180-d-automatic-amg-line-advanced-plus-diesel-nero-c3874fe3-2969-442f-99aa-539b1d3ae032,Mercedes-Benz,A 180,d Automatic AMG Line Advanced Plus,€ 37.400,,1 km,Automatico,04/2024,Diesel,85 kW (116 CV),Responsabile vendite Stefauto spa • IT-40127 Bologna - Bo
"Mercedes-Benz
A 200
A 200 d Automatic AMG Line Advanced Plus",https://www.autoscout24.it/annunci/mercedes-benz-a-200-a-200-d-automatic-amg-line-advanced-plus-diesel-bianco-a67dd508-b1be-4ca4-bee5-e91376ce014e,Mercedes-Benz,A 200,A 200 d Automatic AMG Line Advanced Plus,,€ 34.890,16.160 km,Automatico,07/2023,Diesel,110 kW (150 CV),Frattin Group - Piove di Sacco • IT-35028 Piove di Sacco - Padova - PD
"Mercedes-Benz
A 200
FACELIFT BENZINA PREMIUM AMG AUTOMATICA",https://www.autoscout24.it/annunci/mercedes-benz-a-200-facelift-benzina-premium-amg-automatica-benzina-bianco-00228f91-bf47-4ef3-bebc-6631884b35a7,Mercedes-Benz,A 200,FACELIFT BENZINA PREMIUM AMG AUTOMATICA,,€ 34.500,16.300 km,Automatico,02/2024,Benzina,120 kW (163 CV),Marco • IT-55016 Porcari - Lucca - LU
"Mercedes-Benz
A 220
A 220 d Automatic AMG Line Advanced Plus",https://www.autoscout24.it/annunci/mercedes-benz-a-220-a-220-d-automatic-amg-line-advanced-plus-diesel-grigio-0a4fcb1a-7948-4018-9474-9d3ad3515987,Mercedes-Benz,A 220,A 220 d Automatic AMG Line Advanced Plus,,€ 38.950,7.800 km,Automatico,12/2023,Diesel,140 kW (190 CV),"Italo, Stefano, Mirko, Rossano, Francesco, Mario, Carlo, Diego, Attilio, Mattia, Diego, Simone, Francesco, Valentina, David • IT-40066 Pieve Di Cento - Bologna - Bo"
"Mercedes-Benz
A 200
A 200 Automatic AMG Line Premium",https://www.autoscout24.it/annunci/mercedes-benz-a-200-a-200-automatic-amg-line-premium-elettrica-benzina-grigio-328c2728-d6d1-4361-ad15-add008f2460e,Mercedes-Benz,A 200,A 200 Automatic AMG Line Premium,,€ 36.950,9.999 km,Automatico,06/2023,Elettrica/Benzina,120 kW (163 CV),"Italo, Stefano, Mirko, Rossano, Francesco, Mario, Carlo, Diego, Attilio, Mattia, Diego, Simone, Francesco, Valentina, David • IT-40066 Pieve Di Cento - Bologna - Bo"
"Mercedes-Benz
A 180
180 d amg line premium auto",https://www.autoscout24.it/annunci/mercedes-benz-a-180-180-d-amg-line-premium-auto-diesel-grigio-2c639ce5-5aa4-4195-be3d-345d99daeef9,Mercedes-Benz,A 180,180 d amg line premium auto,,€ 36.400,20.345 km,Semiautomatico,09/2023,Diesel,85 kW (116 CV),"Concessionaria Ufficiale Mercedes-Benz, Smart, AMG • IT-36040 Torri di Quartesolo - Vicenza"
"Mercedes-Benz
A 180
AUTOMATIC Executive",https://www.autoscout24.it/annunci/mercedes-benz-a-180-automatic-executive-elettrica-benzina-argento-ebdeaf33-5c6b-4817-8331-3f0474d0daea,Mercedes-Benz,A 180,AUTOMATIC Executive,,€ 32.200,- km,Automatico,- (Anno),Elettrica/Benzina,100 kW (136 CV),"Italo, Stefano, Mirko, Rossano, Francesco, Mario, Carlo, Diego, Attilio, Mattia, Diego, Simone, Francesco, Valentina, David • IT-40066 Pieve Di Cento - Bologna - Bo"
"Mercedes-Benz
A 250
e phev AMG Line Premium auto",https://www.autoscout24.it/annunci/mercedes-benz-a-250-e-phev-amg-line-premium-auto-elettrica-benzina-bianco-efa903ef-5eb1-4791-a3b2-1071862a4d54,Mercedes-Benz,A 250,e phev AMG Line Premium auto,,€ 35.000,19.500 km,Automatico,01/2024,Elettrica/Benzina,118 kW (160 CV),Marco • IT-55016 Porcari - Lucca - LU
"Mercedes-Benz
A 200
200 d amg line premium auto",https://www.autoscout24.it/annunci/mercedes-benz-a-200-200-d-amg-line-premium-auto-diesel-bianco-5304eceb-4243-470c-8600-edb2480b55e8,Mercedes-Benz,A 200,200 d amg line premium auto,,€ 37.000,19.014 km,Semiautomatico,10/2023,Diesel,110 kW (150 CV),"Concessionaria Ufficiale Mercedes-Benz, Smart, AMG • IT-36040 Torri di Quartesolo - Vicenza"
"Mercedes-Benz
A 250
A 250 e phev Progressive Advanced Plus auto",https://www.autoscout24.it/annunci/mercedes-benz-a-250-a-250-e-phev-progressive-advanced-plus-auto-elettrica-benzina-nero-d02f0e44-1e24-4474-847f-57dfd7eff1a3,Mercedes-Benz,A 250,A 250 e phev Progressive Advanced Plus auto,,€ 33.990,28.818 km,Automatico,09/2023,Elettrica/Benzina,160 kW (218 CV),Responsabile vendite . • IT-50100 Firenze
"Mercedes-Benz
A 220
A 220 d Automatic Executive",https://www.autoscout24.it/annunci/mercedes-benz-a-220-a-220-d-automatic-executive-diesel-nero-b77e1a71-9317-4168-a8f0-b00e8e4cdf49,Mercedes-Benz,A 220,A 220 d Automatic Executive,,€ 36.690,- km,Semiautomatico,- (Anno),Diesel,140 kW (190 CV),Servizio Clienti • IT-40033 Casalecchio di Reno - Bologna - Bo
,https://www.autoscout24.it/annunci/mercedes-benz-a-200-premium-amg-manuale-benzina-bianco-41cd6945-abe3-4fd8-8596-7991f689ae97,Mercedes-Benz,A 200,Premium - AMG - MANUALE,,,,,,,,Marco • IT-55016 Porcari - Lucca - LU
"Mercedes-Benz
A 200
Automatic AMG",https://www.autoscout24.it/annunci/mercedes-benz-a-200-automatic-amg-benzina-nero-89931dcd-5b33-425e-ae35-b6a7c09cdf83,Mercedes-Benz,A 200,Automatic AMG,,€ 36.700,5.400 km,Automatico,08/2022,Benzina,120 kW (163 CV),Giordano Nasi • IT-41051 Castelnuovo Rangone - Modena - Mo
"Mercedes-Benz
A 180
A 180 Premium auto",https://www.autoscout24.it/annunci/mercedes-benz-a-180-a-180-premium-auto-benzina-argento-83d06fcb-d2f4-4780-8dac-f721d6e1f676,Mercedes-Benz,A 180,A 180 Premium auto,,€ 27.990,44.727 km,Automatico,05/2021,Benzina,100 kW (136 CV),Responsabile vendite . • IT-50100 Firenze
"Mercedes-Benz
A 180
Automatic Progressive Advanced",https://www.autoscout24.it/annunci/mercedes-benz-a-180-automatic-progressive-advanced-elettrica-benzina-bianco-32edde08-68e0-424a-87e9-4311503efd18,Mercedes-Benz,A 180,Automatic Progressive Advanced,,€ 31.500,17.447 km,Automatico,01/2024,Elettrica/Benzina,100 kW (136 CV),Sig. Rossi • IT-45100 Rovigo
"Mercedes-Benz
A 180
A 180 Executive",https://www.autoscout24.it/annunci/mercedes-benz-a-180-a-180-executive-elettrica-benzina-nero-dc34b2f9-9000-492f-a416-c73a6fbab7dd,Mercedes-Benz,A 180,A 180 Executive,,€ 32.600,- km,Automatico,- (Anno),Elettrica/Benzina,100 kW (136 CV),De Stefani Servizio Clienti • IT-47522 Martorano di Cesena- Cesena
"Mercedes-Benz
A 220
A 220 d Automatic AMG Line Advanced Plus",https://www.autoscout24.it/annunci/mercedes-benz-a-220-a-220-d-automatic-amg-line-advanced-plus-diesel-bianco-7b56a96d-96f1-40fc-b8a5-762fabfeac4b,Mercedes-Benz,A 220,A 220 d Automatic AMG Line Advanced Plus,,€ 39.950,6.999 km,Automatico,05/2023,Diesel,140 kW (190 CV),"Italo, Stefano, Mirko, Rossano, Francesco, Mario, Carlo, Diego, Attilio, Mattia, Diego, Simone, Francesco, Valentina, David • IT-40066 Pieve Di Cento - Bologna - Bo"
"Mercedes-Benz
A 220
A 220 d Automatic AMG Line Advanced Plus",https://www.autoscout24.it/annunci/mercedes-benz-a-220-a-220-d-automatic-amg-line-advanced-plus-diesel-bianco-4f705bc2-9742-4d32-9859-38a92d4ce239,Mercedes-Benz,A 220,A 220 d Automatic AMG Line Advanced Plus,,€ 39.950,22.500 km,Automatico,10/2023,Diesel,140 kW (190 CV),"Italo, Stefano, Mirko, Rossano, Francesco, Mario, Carlo, Diego, Attilio, Mattia, Diego, Simone, Francesco, Valentina, David • IT-40066 Pieve Di Cento - Bologna - Bo"
"Mercedes-Benz
A 180
180d 8G-DCT Progressive Line",https://www.autoscout24.it/annunci/mercedes-benz-a-180-180d-8g-dct-progressive-line-diesel-rosso-1436f2f8-4d0d-40ba-85d4-8dd8fba1217f,Mercedes-Benz,A 180,180d 8G-DCT Progressive Line,,€ 34.620,18.504 km,Automatico,04/2023,Diesel,85 kW (116 CV),Giordano Nasi • IT-41051 Castelnuovo Rangone - Modena - Mo
"Mercedes-Benz
A 180
Automatic Progressive",https://www.autoscout24.it/annunci/mercedes-benz-a-180-automatic-progressive-elettrica-benzina-nero-7fe69c16-fc49-4e3b-a854-5919be8182b8,Mercedes-Benz,A 180,Automatic Progressive,,€ 34.500,10.500 km,Automatico,06/2023,Elettrica/Benzina,100 kW (136 CV),Giordano Nasi • IT-41051 Castelnuovo Rangone - Modena - Mo
"Mercedes-Benz
A 180
A 180 d Sport Automatic",https://www.autoscout24.it/annunci/mercedes-benz-a-180-a-180-d-sport-automatic-diesel-grigio-4e6de88d-5b6e-4bd6-b816-d4885a590246,Mercedes-Benz,A 180,A 180 d Sport Automatic,€ 27.599,,38.672 km,Automatico,05/2022,Diesel,85 kW (116 CV),Centro di consegna • IT-37135 Verona - VR
"Mercedes-Benz
A 220
A 220 d Automatic AMG Line Advanced Plus",https://www.autoscout24.it/annunci/mercedes-benz-a-220-a-220-d-automatic-amg-line-advanced-plus-diesel-grigio-fedacc50-f74a-405e-b88f-1eee96404d56,Mercedes-Benz,A 220,A 220 d Automatic AMG Line Advanced Plus,,€ 39.950,6.999 km,Automatico,06/2023,Diesel,140 kW (190 CV),"Italo, Stefano, Mirko, Rossano, Francesco, Mario, Carlo, Diego, Attilio, Mattia, Diego, Simone, Francesco, Valentina, David • IT-40066 Pieve Di Cento - Bologna - Bo"
"Mercedes-Benz
A 180
d Automatic",https://www.autoscout24.it/annunci/mercedes-benz-a-180-d-automatic-diesel-nero-91b7855e-f3ec-40d4-90ca-4428335b21c2,Mercedes-Benz,A 180,d Automatic,,€ 37.800,0 km,Automatico,- (Anno),Diesel,85 kW (116 CV),Responsabile web Guidi • IT-55100 Lucca - Lu
"Mercedes-Benz
A 200
Automatic AMG",https://www.autoscout24.it/annunci/mercedes-benz-a-200-automatic-amg-benzina-nero-0684b199-f5fb-4f1e-9fbb-5a6818a405b4,Mercedes-Benz,A 200,Automatic AMG,,€ 35.300,10.500 km,Automatico,10/2022,Benzina,120 kW (163 CV),Giordano Nasi • IT-41051 Castelnuovo Rangone - Modena - Mo
"Mercedes-Benz
A 180
d Automatic AMG Line Advanced Plus",https://www.autoscout24.it/annunci/mercedes-benz-a-180-d-automatic-amg-line-advanced-plus-diesel-argento-69d584cb-cb0d-4973-9178-a1d1b27b1761,Mercedes-Benz,A 180,d Automatic AMG Line Advanced Plus,,€ 37.400,- km,Automatico,- (Anno),Diesel,85 kW (116 CV),Responsabile vendite Stefauto spa • IT-40127 Bologna - Bo
"Mercedes-Benz
A 180
d Automatic Executive",https://www.autoscout24.it/annunci/mercedes-benz-a-180-d-automatic-executive-diesel-argento-8454fa11-0f43-4797-ab8c-319bfc501d03,Mercedes-Benz,A 180,d Automatic Executive,,€ 33.550,- km,Automatico,- (Anno),Diesel,85 kW (116 CV),"Italo, Stefano, Mirko, Rossano, Francesco, Mario, Carlo, Diego, Attilio, Mattia, Diego, Simone, Francesco, Valentina, David • IT-40066 Pieve Di Cento - Bologna - Bo"
"Mercedes-Benz
A 250
A 250 e hybrid EQ AMG Line Advanced Plus",https://www.autoscout24.it/annunci/mercedes-benz-a-250-a-250-e-hybrid-eq-amg-line-advanced-plus-elettrica-benzina-blu-azzurro-8ba13ec4-fe08-4b4d-a7e6-d3ed53bd84bc,Mercedes-Benz,A 250,A 250 e hybrid EQ AMG Line Advanced Plus,,€ 37.950,15.000 km,Automatico,09/2023,Elettrica/Benzina,160 kW (218 CV),"Italo, Stefano, Mirko, Rossano, Francesco, Mario, Carlo, Diego, Attilio, Mattia, Diego, Simone, Francesco, Valentina, David • IT-40066 Pieve Di Cento - Bologna - Bo"
"Mercedes-Benz
A 250
A 250 e phev Progressive Advanced auto",https://www.autoscout24.it/annunci/mercedes-benz-a-250-a-250-e-phev-progressive-advanced-auto-elettrica-benzina-nero-fe2a0496-6107-4b82-ba60-0d99ac7cd397,Mercedes-Benz,A 250,A 250 e phev Progressive Advanced auto,,€ 33.490,29.068 km,Automatico,11/2023,Elettrica/Benzina,160 kW (218 CV),Responsabile vendite . • IT-50100 Firenze
"Mercedes-Benz
A 200
A 200 d Automatic AMG Line Advanced Plus",https://www.autoscout24.it/annunci/mercedes-benz-a-200-a-200-d-automatic-amg-line-advanced-plus-diesel-nero-4c645c7b-143d-45b9-89ef-290356bcb043,Mercedes-Benz,A 200,A 200 d Automatic AMG Line Advanced Plus,,€ 37.950,16.999 km,Automatico,11/2023,Diesel,110 kW (150 CV),"Italo, Stefano, Mirko, Rossano, Francesco, Mario, Carlo, Diego, Attilio, Mattia, Diego, Simone, Francesco, Valentina, David • IT-40066 Pieve Di Cento - Bologna - Bo"
