Annuncio,Link,Modello,Prezzo,Chilometraggio,Cambio,Immatricolazione,Carburante,CV,Località,Venditore,CAP,Comune
Mercedes-Benz A 180 d Automatic Premium,https://www.autoscout24.it/annunci/mercedes-benz-a-180-d-automatic-premium-diesel-bianco-4bcc5994-4dea-4f29-9eea-ac07f641df52,A 180 d,27900,51211,automatico,2021,Diesel,150.0,Responsabile vendite Stefauto spa • IT-40127 Bologna - Bo,Rivenditore,40127,bologna
Mercedes-Benz A 200 Premium,https://www.autoscout24.it/annunci/mercedes-benz-a-200-premium-benzina-nero-2ccdab39-a606-4494-86e2-08ed20fc2b04,A 200,24990,39759,manuale,2019,Benzina,150.0,Operatore Web Moreno • IT-48018 Faenza - Ravenna - Ra,Rivenditore,48018,faenza
Mercedes-Benz A 250 A 250 e Plug-in hybrid AMG Line Advanced,https://www.autoscout24.it/annunci/mercedes-benz-a-250-a-250-e-plug-in-hybrid-amg-line-advanced-elettrica-benzina-bianco-3803b7cd-e2ea-447e-86a1-6a5d8c0cbe54,A 250 e,35900,28976,automatico,2023,Ibrido,150.0,Servizio Clienti • IT-40026 Imola -  Bologna,Rivenditore,40026,imola
Mercedes-Benz A 180 d Automatic Advanced,https://www.autoscout24.it/annunci/mercedes-benz-a-180-d-automatic-advanced-diesel-nero-1c414ec3-38c5-407e-96bf-ad3882acf294,A 180 d,28800,24762,automatico,2024,Diesel,150.0,Responsabile vendite Stefauto spa • IT-40127 Bologna - Bo,Rivenditore,40127,bologna
Mercedes-Benz A 250 e Automatic Plug-in hybrid Premium,https://www.autoscout24.it/annunci/mercedes-benz-a-250-e-automatic-plug-in-hybrid-premium-elettrica-benzina-nero-1e9f6f36-deea-484d-8e72-5e09f4d22f26,A 250 e,30950,48999,automatico,2021,Ibrido,150.0,"Italo, Stefano, Mirko, Rossano, Francesco, Mario, Carlo, Diego, Attilio, Mattia, Diego, Simone, Francesco, Valentina, David • IT-40066 Pieve Di Cento - Bologna - Bo",Rivenditore,40066,pieve cento
Mercedes-Benz A 180 A 180 d Automatic Advanced Progressive,https://www.autoscout24.it/annunci/mercedes-benz-a-180-a-180-d-automatic-advanced-progressive-diesel-nero-43fbb1b5-da6f-4906-8438-7d713f636e73,A 180 d,23500,52289,automatico,2020,Diesel,150.0,Millennium Service SRL • IT-40013 Villa Salina BO,Rivenditore,40013,castel maggiore
Mercedes-Benz A 200 Premium AMG RESTYLING VARI COLORI E ALLESTIMENTI,https://www.autoscout24.it/annunci/mercedes-benz-a-200-premium-amg-restyling-vari-colori-e-allestimenti-benzina-nero-2192d44f-60b1-4b99-8d8f-0030c3e8993c,A 200,33500,12300,automatico,2024,Benzina,150.0,Ufficio Vendite Race Car • IT-37040 Z.a.i. - Verona - VR,Rivenditore,37040,arcole
Mercedes-Benz A 250 AMG PREMIUM PAK LUCI LED FULL,https://www.autoscout24.it/annunci/mercedes-benz-a-250-amg-premium-pak-luci-led-full-benzina-grigio-6b4fc770-e10c-42f0-b72b-2821e038599a,A 250,34900,19100,automatico,2022,Benzina,150.0,Ufficio Vendite Race Car • IT-37040 Z.a.i. - Verona - VR,Rivenditore,37040,arcole
Mercedes-Benz A 180 A 180 d Automatic 4p. Premium,https://www.autoscout24.it/annunci/mercedes-benz-a-180-a-180-d-automatic-4p-premium-diesel-nero-047e43a9-3791-45aa-99c4-f3499d53393e,A 180 d,27400,63660,automatico,2022,Diesel,150.0,Servizio Clienti • IT-40033 Casalecchio di Reno - Bologna - Bo,Rivenditore,40033,casalecchio reno
Mercedes-Benz A 180 d Automatic Progressive Advanced,https://www.autoscout24.it/annunci/mercedes-benz-a-180-d-automatic-progressive-advanced-diesel-nero-3f0cda7c-daa1-44c3-8a76-5af8c88beb7a,A 180 d,33400,10,automatico,2025,Diesel,150.0,Responsabile vendite Stefauto spa • IT-40127 Bologna - Bo,Rivenditore,40127,bologna
