Prezzo,Anni,Chilometraggio,Cambio,CV,Venditore,Distanza,is_Diesel vs Benzina,is_Ibrido vs Benzina,is_sport vs base,is_performance vs base,is_middle vs base,is NO vs NE,is Centro vs NE,is Sud_Isole vs NE
39900,0,10,1,150,1,25,1,0,1,0,0,0,0,0
26490,6,51000,1,150,1,99,0,0,0,0,1,0,0,0
37200,1,22213,1,150,1,92,1,0,1,0,0,0,0,0
38300,1,16412,1,150,1,23,1,0,1,0,0,0,0,0
24490,6,60000,1,150,1,99,1,0,0,0,0,0,0,0
36600,3,4908,1,150,1,20,1,0,1,0,0,0,0,0
36400,2,23067,1,150,1,92,0,0,1,0,0,0,0,0
37900,2,8231,1,150,1,97,1,0,0,0,1,0,0,0
36600,3,5200,1,150,1,20,1,0,1,0,0,0,0,0
37300,3,7294,1,150,1,20,1,0,1,0,0,0,0,0
37500,2,5000,1,150,1,20,0,1,0,0,1,0,0,0
39240,2,13946,1,150,1,20,1,0,1,0,0,0,0,0
39600,2,5000,1,150,1,20,0,1,0,0,1,0,0,0
25900,3,18600,0,150,1,77,0,0,1,0,0,0,0,0
38900,4,63000,1,150,1,87,0,0,0,1,0,0,0,0
30000,2,16000,1,150,0,57,0,1,0,0,1,0,0,0
27800,1,38000,1,150,0,25,0,0,1,0,0,0,0,0
26900,4,44549,1,150,0,31,1,0,1,0,0,0,0,0
30500,4,70000,1,150,0,54,0,0,1,0,0,0,0,0
34950,3,69000,1,150,0,9,0,0,0,1,0,0,0,0
30000,5,65000,1,150,0,77,1,0,1,0,0,0,1,0
23400,6,43343,1,150,0,86,1,0,1,0,0,0,0,0
32700,4,67000,1,150,0,25,1,0,1,0,0,0,0,0
32500,5,56000,1,150,0,104,0,0,1,0,0,0,1,0
27500,4,63000,1,150,0,31,1,0,1,0,0,0,0,0
31000,2,26308,1,150,0,99,0,0,1,0,0,0,1,0
28000,4,63609,1,150,0,77,1,0,1,0,0,0,0,0
28000,2,46000,1,150,0,33,1,0,0,0,1,0,0,0
26800,4,46248,1,150,0,40,1,0,0,0,0,0,0,0
38000,3,57000,1,150,0,31,0,0,0,1,0,0,0,0
24300,5,53700,1,150,0,14,1,0,0,0,1,0,0,0
34900,2,17420,1,150,0,40,0,1,1,0,0,0,0,0
27000,5,40000,1,150,0,86,1,0,0,0,0,0,0,0
27900,6,59000,1,150,0,42,1,0,1,0,0,0,0,0
28500,4,68000,1,150,0,86,0,1,1,0,0,0,0,0
30000,2,27000,1,150,0,103,0,1,0,0,1,0,0,0
21500,5,19000,0,150,0,25,0,0,0,0,1,0,0,0
28000,2,46000,1,150,0,33,1,0,0,0,1,0,0,0
34900,4,32000,1,150,0,25,0,0,1,0,0,0,0,0
26000,6,70000,1,150,0,83,1,0,1,0,0,0,1,0
37000,6,45000,1,150,0,95,0,0,0,1,0,0,0,0
32000,4,42000,1,150,0,83,0,1,1,0,0,0,1,0
28000,3,55000,1,150,0,84,1,0,1,0,0,0,0,0
33000,4,52300,1,150,0,55,0,1,1,0,0,0,0,0
35700,6,68415,1,150,0,25,0,0,0,1,0,0,0,0
26000,6,63864,1,150,0,97,1,0,1,0,0,1,0,0
21000,3,59300,0,150,0,99,0,0,0,0,1,0,1,0
36000,4,70000,1,150,0,101,0,0,0,1,0,0,1,0
26000,6,67000,1,150,0,83,1,0,1,0,0,0,0,0
27000,5,42000,1,150,0,30,0,0,1,0,0,0,0,0
23000,4,70000,1,150,0,22,1,0,0,0,0,0,0,0
37300,2,807,1,150,0,62,1,0,1,0,0,0,0,0
31000,3,67000,1,150,0,95,1,0,1,0,0,0,0,0
35990,4,36000,1,150,0,101,0,1,1,0,0,1,0,0
24900,4,14000,0,150,0,99,0,0,0,0,0,0,1,0
24500,4,55000,1,150,0,78,0,0,0,0,0,1,0,0
29000,6,60700,1,150,0,103,1,0,1,0,0,0,0,0
25000,6,60000,1,150,0,16,1,0,0,0,0,0,0,0
25500,3,40000,0,150,0,101,0,0,0,0,0,0,0,0
24900,5,70000,1,150,0,86,0,0,0,0,1,0,0,0
29900,4,39000,1,150,0,96,0,1,1,0,0,0,0,0
35900,5,49000,1,150,0,104,0,0,0,1,0,0,1,0
21000,6,66700,1,150,0,25,1,0,0,0,0,0,0,0
23500,3,70000,0,150,0,31,0,0,0,0,0,0,0,0
23500,5,60312,1,150,0,101,1,0,0,0,1,0,0,0
23000,6,70000,1,150,0,18,1,0,0,0,0,0,0,0
28500,4,53000,1,150,0,92,1,0,0,0,1,0,1,0
24000,6,50600,1,150,0,92,0,0,0,0,1,0,0,0
30000,4,31000,1,150,0,36,1,0,0,0,1,0,0,0
23000,6,56031,1,150,0,100,1,0,0,0,0,0,1,0
37000,1,11000,1,150,0,42,1,0,0,0,1,0,0,0
36900,2,41280,1,150,0,100,1,0,1,0,0,1,0,0
